,0,1
0,1.063704724671659e-05,3.1939640759746317e-06
1,1.2852804495754185e-05,7.1049573033376785e-06
2,1.5064473392810202e-05,3.852106497152585e-06
3,9.832375777088628e-06,7.741712805826451e-06
4,7.705928776826987e-06,6.768135412705112e-06
5,3.8134090780888663e-06,7.599319170300594e-06
6,1.4581972902989945e-05,5.020858847009362e-06
7,6.621542596203987e-06,4.322306967089571e-06
8,8.909554530187476e-06,5.683901905239463e-06
9,1.2803229276187775e-05,3.926144759254806e-06
10,1.5015089298383913e-05,3.741279248174859e-06
11,1.0682580192828416e-05,7.644414877971987e-06
12,1.4546593718532057e-05,7.056828855951636e-06
13,1.3846958251778778e-05,5.357338894458793e-06
14,1.2137530380529181e-05,7.702178698668139e-06
15,1.2481285828338626e-05,8.087785429627784e-06
16,1.4036746949834414e-05,6.518130524149246e-06
17,7.314095931662702e-06,5.817760634329806e-06
18,1.3570193277244487e-05,5.86211690413595e-06
19,7.571394142712324e-06,7.704327554765195e-06
20,1.365747983294218e-05,5.986600308945161e-06
21,9.60571217237015e-06,7.177962914053001e-06
22,1.3368493443657457e-05,6.0106846110763914e-06
23,1.3162736746647458e-05,5.930505040313316e-06
24,4.398846610315115e-06,8.399935783527824e-06
25,1.1064282633033662e-05,5.286440907769515e-06
26,1.1256247947853884e-05,5.603878197793583e-06
27,7.87589858251672e-06,7.182729791777547e-06
28,1.1589839533186683e-05,6.0392926327996985e-06
29,8.210981057906938e-06,3.2020309479450598e-06
30,1.0490297180368863e-05,6.1638352198335034e-06
31,1.4462171405344953e-05,5.542766166955446e-06
32,1.3089202183617324e-05,6.528528286579089e-06
33,1.1681173508601962e-05,7.96273134590003e-06
34,5.461570178735262e-06,6.0394533389359285e-06
35,1.397446437068129e-05,6.537957541759308e-06
36,1.145424264588129e-05,5.4469187794562475e-06
37,5.087582416164562e-06,6.1391878885547275e-06
38,7.63214809750832e-08,6.683457779187902e-06
39,1.1292390873176489e-05,6.3594696432762445e-06
40,8.102680753932637e-06,4.971879203703163e-06
41,9.869829459691424e-06,6.879242932006271e-06
42,1.373334870281475e-05,7.174742394471262e-06
43,1.5028328596962075e-05,5.422966984897058e-06
44,1.1534020817496109e-05,6.302509454617477e-06
45,1.2735984865697489e-05,7.205883817859629e-06
46,1.0891375364454598e-05,5.939799331768045e-07
47,1.4389657555273991e-05,6.943008330139615e-06
48,8.125616856078788e-06,6.718864400997328e-06
49,1.2622299951491442e-05,5.607693521790593e-06
50,1.1967743637194695e-05,6.172563584919436e-06
51,1.439223661901013e-05,1.8258088326345609e-06
52,1.3029642301646172e-05,7.164694775566255e-06
53,9.635886227021693e-06,7.85380264407121e-06
54,1.393055626816144e-05,6.78702057101091e-06
55,1.33424866093765e-05,7.440417901225976e-06
56,1.3031417287902265e-05,6.4907600743637985e-06
57,1.1896340543547299e-06,5.9658496315886395e-06
58,1.3821250784209717e-05,5.9003647842815195e-06
59,1.2636188026125916e-05,6.73180101498959e-06
60,1.1169262572393455e-05,1.2342088878014249e-07
61,9.918553146910995e-06,6.69061066979897e-06
62,1.0462113683752767e-05,1.2186222950553438e-06
63,1.3809102896410454e-05,7.269246539453377e-06
64,6.160631906865912e-06,5.4021673274307665e-06
65,1.2623261898851933e-05,4.252606580339318e-06
66,1.3525360809191105e-05,6.079683345882493e-06
67,9.13198945227256e-06,7.510736168661073e-06
68,1.2877762876692324e-05,4.885300275844067e-06
69,1.3124604090050672e-05,6.747731812130585e-06
70,9.541157091289564e-06,5.965642845615601e-06
71,1.156816974871076e-05,6.774009890125846e-06
72,7.485264681372577e-06,3.271850211446552e-06
73,1.1683448844694711e-05,6.341546471776546e-06
74,1.3718941667664848e-05,7.426252128758606e-06
75,1.3204186221947555e-05,5.854925823957321e-06
76,1.383210690364272e-05,7.627847182996033e-06
77,1.2116919055497991e-05,3.91620828554619e-06
78,7.920531967648255e-06,5.96056193139209e-06
79,8.80444530990924e-06,5.157367186518599e-06
80,1.4740417463781888e-05,6.639883194740859e-06
81,7.11228381831593e-06,3.6027252539361788e-06
82,6.784967925812031e-06,6.802799919334972e-06
83,1.5799165528469674e-05,7.678633378541292e-06
84,1.3915675286589359e-05,4.92210484719375e-06
85,1.3560917490843833e-05,6.23848662996708e-06
86,1.2630447212839344e-05,5.369569097854402e-06
87,4.036949319256713e-06,6.685718513560941e-06
88,1.488258946223797e-05,5.3477210212609865e-06
89,1.4516874757682397e-05,5.718881133071592e-06
90,1.4331142815620077e-05,6.153548916509149e-06
91,3.803120877809725e-06,7.912346983231842e-06
92,8.478410079031654e-06,4.85900443647777e-06
93,1.0937452775492345e-05,6.245065696962415e-06
94,1.2943706323475624e-05,7.3464762676901865e-06
95,1.2543940357199997e-05,7.446349080869812e-06
96,1.0436999089751824e-05,6.6290928636010154e-06
97,1.3466264826049598e-05,6.978017301240241e-06
98,1.3058650394232577e-05,4.964338254422562e-06
99,9.515906280327009e-06,5.462711378427186e-06
100,1.4890153592333257e-05,8.047815985878594e-06
101,1.6113516004752822e-05,6.607360365880892e-06
102,1.1839075503562268e-05,8.211844598222183e-06
103,1.1337946999559008e-05,6.6556981077230355e-06
104,6.852665185504802e-06,6.516912928322141e-06
105,1.3571669292058149e-05,6.461121379474574e-06
106,1.2834499136189374e-05,6.004370216784324e-06
107,6.526913415778479e-06,4.74597783047357e-06
108,1.3351567567522323e-05,5.534650413747686e-06
109,9.25579343666076e-06,3.695022285812028e-06
110,9.33166120350609e-06,5.0710361126076444e-06
111,8.444129337457513e-06,4.2080092957216786e-06
112,1.1610186621295553e-05,5.639975865470808e-06
113,5.539081176305194e-06,6.099214776967996e-06
114,1.2332101814466746e-05,7.05036638412728e-06
115,1.5173724730916152e-05,4.7865047676363825e-06
116,1.1288005685384327e-05,5.803277313072452e-06
117,1.2681291100518056e-05,5.0556872141789045e-06
118,1.0343838447264873e-05,6.048576932709859e-06
119,1.3322727194952182e-05,6.059773396340269e-06
120,1.3870234224665855e-05,5.291983350203768e-06
121,1.3818235586260324e-05,6.282709182913726e-06
122,8.401318185976615e-06,6.147555074462586e-06
123,1.3510820400337869e-05,4.64879881205328e-06
124,1.1839075503562268e-05,7.180392236776477e-06
125,1.6044546933824877e-05,7.716822810007703e-06
126,6.453026022230667e-06,4.088713984043146e-06
127,1.031998344233553e-05,6.413650698517804e-06
128,8.73923396888441e-06,3.181556028164019e-06
129,1.1748086034315007e-05,7.825619859991244e-06
130,1.0378541719450478e-05,8.323793628775031e-06
131,1.2518260929278975e-05,6.072907512306639e-06
132,9.815200498932439e-06,4.478034496473168e-06
133,1.3125494352721138e-05,7.59866786193751e-06
134,9.861220337586073e-06,6.6915819389746e-06
135,7.501075296624235e-06,8.186154218324267e-06
136,6.878931966722698e-06,5.671860482653436e-06
137,1.0586625011148917e-05,5.671766946915369e-06
138,1.1908179525466037e-05,7.77741601042598e-06
139,1.091547960803858e-05,7.3005473538157494e-06
140,7.4840797753147855e-06,7.691018805132046e-06
141,1.3260432268704533e-05,6.181549572523968e-06
142,1.2909951271888546e-05,7.111466972708081e-06
143,1.4546438224789682e-05,6.261316757175827e-06
144,6.963008268078716e-06,1.7358992566050446e-06
145,1.115514128153514e-05,5.19395010047806e-06
146,1.0140194069529648e-05,7.710824870171341e-06
147,1.35674430695882e-05,3.833799264123343e-06
148,1.4620759929905938e-05,6.420604816803114e-06
149,1.3309294878592556e-05,6.729204210974874e-06
150,1.5231997964711978e-05,4.169212308045287e-06
151,9.2376385715149e-06,5.412917842700035e-06
152,1.0101936126340474e-05,4.072227974969912e-06
153,6.4689534277219355e-06,6.960784650313363e-06
154,1.4209048669238333e-05,5.898928723550012e-06
155,1.3330916665038273e-05,4.692540027910071e-06
156,6.073040491504493e-06,7.115543450571833e-06
157,5.2495747587359046e-06,5.455844777715865e-06
158,1.2384948050995604e-05,5.985692980970915e-06
159,1.338458217973839e-05,5.703576899914408e-06
160,6.530304280592344e-06,6.842461107342979e-06
161,1.332967631660908e-05,6.837323489750281e-06
162,1.089781775183524e-05,5.78212466987677e-06
163,1.594118807156606e-05,6.220717384047297e-06
164,1.5122280120874591e-05,7.030578327574113e-06
165,1.3692271142975018e-05,7.552593483601553e-06
166,9.298797447217175e-06,6.5414796124968205e-06
167,1.3260432268704533e-05,3.569091458754018e-06
168,1.1533850703474235e-05,4.858650607119428e-06
169,1.4386472668578134e-05,5.495470455719531e-06
170,1.2289203400187966e-05,5.174538609640795e-06
171,6.43762204485459e-06,5.3783636843993566e-06
172,1.4182035232934545e-05,4.2634556727830575e-06
173,1.3530424210862288e-05,3.969647755278517e-06
174,2.3219080372657058e-06,6.786209076931768e-06
175,1.4273269050023333e-05,7.320475117976411e-06
176,1.204044105434292e-05,4.917593427951657e-06
177,1.2692522607848252e-05,5.7285936115520955e-06
178,1.1472995200915788e-05,7.153100432254876e-06
179,1.4805854070616248e-05,6.7007989656048355e-06
180,4.284913593945445e-06,5.767377867131164e-06
181,1.1694468903600898e-05,7.173317892771988e-06
182,1.2171388216412004e-05,6.517146542744955e-06
183,1.3768256177178187e-05,7.838385884328196e-06
184,8.809691766935403e-06,6.959018455670863e-06
185,1.2832140455144845e-05,6.778652664195146e-06
186,1.1729205030085856e-05,6.8164338668343235e-06
187,1.4630218831925254e-05,6.052050990518367e-06
188,1.4451526269732221e-05,5.219258375429874e-06
189,1.0711115546076467e-05,6.979432351409063e-06
190,1.1743315192505264e-05,6.011082630617064e-06
191,1.5173092114191764e-05,5.6800677969717066e-06
192,8.11502441480923e-06,6.554952021827371e-06
193,1.212135261454466e-05,6.738878532002206e-06
194,8.426438536473316e-06,5.955650618182949e-06
195,1.1847439497226654e-05,6.958058761497758e-06
196,1.1823388858450782e-05,6.470125392714354e-06
197,1.3274695520332573e-05,7.628371176234289e-06
198,1.2700032191078527e-05,5.442340366491787e-06
199,1.1623838189476154e-05,6.258655094639454e-06
200,3.0035782563607876e-06,8.28059772367846e-06
201,9.306348629445352e-06,4.4151692719234824e-06
202,1.4353784904418141e-05,1.903626809882927e-06
203,6.457948400379456e-06,7.885070802863957e-06
204,1.597983530562305e-05,6.482369204134888e-06
205,1.08194945707747e-05,7.08751054663607e-06
206,5.740979980570823e-06,7.776808723186146e-06
207,1.2684398854152747e-05,6.138438767171854e-06
208,9.00014946703397e-06,5.027783293044186e-06
209,1.3896544117337792e-05,2.4360843073550946e-06
210,1.1205365482617004e-05,7.563971602492569e-06
211,1.1383574834566763e-05,6.446008106949979e-06
212,9.864375079756151e-06,4.4576699900721674e-07
213,1.4078441371161844e-05,7.595877280914955e-06
214,1.4724516862867107e-05,7.878850327890594e-06
215,9.590592143643128e-06,6.745235307252115e-06
216,1.3541988274035007e-05,6.857713273801447e-06
217,1.2635367087297436e-05,6.820415465553009e-06
218,1.048723758029527e-05,7.60348178313874e-06
219,8.645826956946039e-06,6.0942204383871684e-06
220,1.0336096752858753e-05,7.053659299494408e-06
221,4.907161013863241e-06,5.486984219203535e-06
222,9.906607972823395e-06,2.539677011549051e-06
223,1.4161801115018628e-05,5.217383544381914e-06
224,1.196046207988812e-05,7.444572744006178e-06
225,9.54545538298673e-06,3.7816292355038476e-06
226,1.2133633669204803e-05,7.441875235389091e-06
227,1.359273862902995e-05,5.094332555254695e-06
228,1.529157460811564e-05,5.720836645743588e-06
229,1.2486363483079827e-05,4.734511199844988e-06
230,3.6105331041598383e-06,3.6295895789910858e-06
231,7.326682324424447e-06,7.490103922960045e-06
232,1.0897536394499172e-05,6.474785738641782e-06
233,1.3716568799980422e-05,7.583837654684945e-06
234,1.3794064180930017e-05,6.79639682726695e-06
235,6.568841131867418e-06,7.088490414802923e-06
236,1.522136053511393e-05,4.9280591215215204e-06
237,6.913380713467955e-06,5.211337608381774e-06
238,3.131682121487596e-06,7.87560124526591e-06
239,9.539759691145055e-06,6.98955642357731e-06
240,3.399095471982589e-06,7.899516755514715e-06
241,1.3469029146755938e-05,6.376203341510728e-06
242,1.03958185542438e-05,5.826872107043122e-06
